"Acorn","도토리"
"Ant","개미"
"Apple","사과"
"Baby","아기"
"Bag","가방"
"Baseball","야구"
"Bed","침대"
"Beer","맥주"
"Bicycle","자전거"
"Book","책"
"Boy's older sister","누나"
"Bridge","다리"
"Bus","버스"
"Buy","사다"
"Cake","케이크"
"Calendar","달력"
"Camera","카메라"
"Capital","수도"
"Car","자동차"
"Cellular Phone","휴대폰"
"Chair","의자"
"Chicken Meat","닭고기"
"Child","아이"
"Chop Sticks","젓가락"
"Clock","시계"
"Come","오다"
"Computer","컴퓨터"
"Country","나라"
"Cucumber","오이"
"Desk","책상"
"Do","하다"
"Eight","여덟"
"Fan","선풍기"
"Father","아버지"
"Fish","생선"
"Flower","꽃"
"Fox","여우"
"Friend","친구"
"Furniture","가구"
"Gimchi","김치"
"Ginseng","인삼"
"Glasses","안경"
"Go","가다"
"Grandmother","할머니"
"Hat","모자"
"Headband","머리띠"
"House","집"
"Junior","아우"
"Letter","편지"
"Magazine","잡지"
"Magpie","까치"
"Meet","만나다"
"Midget","꼬마"
"Milk","우유"
"Mother","어머니"
"Nephew","조카"
"Newspaper","신문"
"Nose","코"
"Pants","바지"
"Parents","부모"
"Pencil","연필"
"Photograph","사진"
"Pig","돼지"
"Practice Excercises","연습"
"Rabbit","토끼"
"Radio","라디오"
"Reason","이유"
"Refrigerator","냉장고"
"Restroom","화정실"
"Roots","뿌리"
"Scissors","가위"
"Sea","바다"
"Shoes","구두"
"Skirt","치마"
"Soap","비누"
"Soju","소주"
"Spoon","숟가락"
"Stamp","우표"
"Stew","찌개"
"Sunshine","햇빛"
"Sweet Potato","고구마"
"Tail","꼬리"
"Teacher","선생님"
"There","거기"
"Tissue","휴지"
"Toothpaste","치약"
"Train","기차"
"Trash","쓰레기"
"Tree","나무"
"Uncle","아저씨"
"Value","값"
"Vocabulary","어휘"
"Vowel","모음"
"Wait","기다리다"
"Wallet","지갑"
"Watermelon","수박"
"We","우리"
"Who","누구"
"Wild Goose","기러기"
"Word","단어"
